,publisherOrganizationID,publisherOrganizationName
0,20094,Dryad Digital Repository
1,20095,University of Strathclyde
2,20096,National Renewable Energy Laboratory - Data
3,20097,NREL-DATA
4,20098,Golden
5,20099,CO (United States
6,20100,National Renewable Energy Laboratory
7,20101,Academic Research System
8,20102,PANGAEA - Data Publisher for Earth & Environmental Science
9,20103,University of Washington Libraries
10,20104,UCAR/NCAR - Research Data Archive
11,20105,GFZ Data Services
12,20106,Natural Environment Research Council
13,20107,UK Research & Innovation
14,20108,MetaBrainz Foundation
15,20109,Oxford University Press
16,20110,European Bioinformatics Institute
17,20111,China Foreign Exchange Trade System
18,20089,Getty Research Institute
19,20112,Publications Office of the European Union
20,20113,International Union for Conservation of Nature
21,20114,Institution of Engineering and Technology
22,20115,United States National Agricultural Library
23,20116,Centre for Agriculture and Biosciences International
24,20117,EBSCO Industries
25,20118,American Psychological Association
26,20119,California Academy of Sciences
27,20120,Congress
28,20121,Natural Resources Canada
29,20122,Mineralogical Society of America
30,20123,International Mineralogical Association
31,20124,University of Arizona
32,20125,International Astronomical Union
33,20126,United States Geological Survey
34,20127,Washington University School of Medicine
35,20128,American Mathematical Society
36,20129,Parliament of Finland
37,20130,American Alpine Club
38,20131,Association for Computing Machinery
39,20132,FAO
40,20133,Chambers Harrap
41,20134,Harvard University
42,20135,Research Data
43,20136,University of California
44,20137,American Society of Health-System Pharmacists
45,20138,EBSCO Information Services
46,20139,Mississippi State University
47,20140,European Research Libraries
48,20141,Open Geospatial Consortium
49,20142,World Wide Web Consortium
50,20085,United States National Library of Medicine
51,20143,ISSN International Centre
52,20144,Library Publishing Coalition
53,20145,University of Georgia
54,20146,National Center for Scientific Research
55,20147,California State Association of Counties
