http://dskg.org/entity/person/10001	Jules Bergis	#Charlottesville, Aretha Franklin, nan		nan, https://doi.org/10.6086/d10t0b, https://doi.org/10.6086/d1x374
http://dskg.org/entity/person/10002	Diago Maria P.	datasets.zip, nan		https://figshare.com/articles/datasets_zip/5808720, https://doi.org/10.6084/m9.figshare.5808720.v1
http://dskg.org/entity/person/10002	Diago Maria P.	datasets.zip, nan		https://figshare.com/articles/datasets_zip/5808720, https://doi.org/10.6084/m9.figshare.5808720.v1
http://dskg.org/entity/person/10002	Diago Maria P.	datasets.zip, nan		https://figshare.com/articles/datasets_zip/5808720, https://doi.org/10.6084/m9.figshare.5808720.v1
http://dskg.org/entity/person/10004	R. Chawla Aarti	RAW files, nan	Bouchut Anne, Jeffers Victoria, Hudmon Andy, J. Sullivan Jr. William	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10005	Jeffers Victoria	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Hudmon Andy, J. Sullivan Jr. William	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10006	Hudmon Andy	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, J. Sullivan Jr. William	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10007	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10007	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10007	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10007	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10007	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
