,contributorOrganizationID,contributorOrganizationName
0,20233,University Corporation For Atmospheric Research
1,20234,Center For Atmospheric Research
2,20235,CISL):Operations And Services Division
3,20236,University College Dublin
4,20237,National Folklore Foundation
5,20238,CISL):Information Services Division
6,20239,ISD):Data Engineering And Curation Section
7,20240,Royal Institute for Cultural Heritage
8,20241,Netherlands Institute for Art History
9,20242,Getty Conservation Institute
10,20243,Academia Sinica
11,20244,Museum of Fine Arts
12,20245,University of Catalonia Services Consortium
