,creatorAgentID,creatorAgentName
0,30000,Gutiérrez Salvador
1,30001,Fernández-Novales Juan
2,30002,Tardaguila Javier
3,30003,Hanschmann Timo
4,30004,"""d'Agata Léo"" 'Istace Benjamin"
5,30005,Gay Elise J
6,30006,Adrian
7,30007,Alentorn Agusti
8,30008,D.
9,30009,Lenore
10,30010,New York
11,30011,Herrero Javier
12,30012,Polo María José
13,30013,Quast Christian
14,30014,Sasa Mahmood
15,30015,Dusek Ondrej
16,30016,Vuleta Ana
17,30017,Bertin
18,30018,Capra Emanuele
19,30019,Manage
20,30020,Natella Roberto
21,30021,Ercoli
22,30022,Prevosti Francisco
23,30023,Quaas Johannes
24,30024,Bernatchez Louis
25,30025,Porwollik Vera
26,30026,Richon Camille
27,30027,Deleporte Philippe
28,30028,Schulze Jana
29,30029,Voloudakis Georgios
30,30030,Lipska
31,30031,Schahram Akbarian
32,30032,Chess Andrew
33,30033,Ioannis
34,30034,Hacking Materials
35,30035,Rysbek Zhanibek
36,30036,Georgina
37,30037,Giese Benjamin S.
38,30038,Kaplan Alexey
39,30039,Luterbacher Jurg
40,30040,Benoy M.
41,30041,"R.,"
42,30042,Schwatke Christian
43,30043,Widmer Alex
44,30044,Nadachowska
45,30045,Patel Dhaval
46,30046,Eight
47,30047,1251
48,30048,Takahiro
49,30049,Sek Won Kong
50,30050,Christian
51,30051,Sáez Llorenç
52,30052,Hoog Anja Van't
53,30053,Anubhav Jain
54,30054,Piccarreda Davide
55,30055,Bushman Frederic D.
56,30056,Seattle
57,30057,Francesca
58,30058,Tsafou Kalliopi
59,30059,Bousema Teun
60,30060,Green Elizabeth A.
61,30061,Liew Sook-Lei
62,30062,Battaglini Luca M.
63,30063,Los Angeles
64,30064,Blanc Eric
65,30065,Austrian
66,30066,German
67,30067,England
68,30068,London
69,30069,J.
70,30070,eds
71,30071,E.P.A.M.
72,30072,Bakkers
73,30073,L.P.
74,30074,Mourik
75,30075,S.M.
76,30076,Sergey
77,30077,Hogg
