,creatorOrganizationID,creatorOrganizationName
0,20000,AlukoSayo
1,20001,Hospital Adam
2,20002,National Park Service
3,20003,Hollmann Rainer
4,20004,Gama-Carvalho Margarida
5,20005,Barbosa-Morais Nuno L
6,20006,Silver Pamela A
7,20007,vikas
8,20008,Aury
9,20009,Nathan Lauga
10,20010,Stanford Network Analysis Project
11,20011,Teschke Katharina
12,20012,Neogi Satyajit
13,20013,Borda-De-Água Luís
14,20014,RoyChowdhury Taniya
15,20015,Chouquet Cecile
16,20016,Borgmann Anna
17,20017,University Of Washington Libraries
18,20018,Souto-Vilarósa Daniel
19,20019,Dromosys
20,20020,UCI
21,20021,Kaggle
22,20022,Wenping Yuan
23,20023,Crouzat Emilie
24,20024,Berger Frederic
25,20025,Verkerk Pieter Johannes
26,20026,P.W. Ellis Daniel
27,20027,Coizet Beatrice
28,20028,Mammides Christos
29,20029,JdPaletto
30,20030,Pettinari
31,20031,Parmanand Sahu
32,20032,Monni
33,20033,Aalborg University
34,20034,Castello
35,20035,Unglaub Claudia
36,20036,Böhm Christoph
37,20037,Rubinoff Daniel
38,20038,Food and Drug Administration
39,20039,The Museum of Modern Art
40,20040,Bruchhaus Iris
41,20041,Macqueen Daniel
42,20042,Crawford
43,20043,Domenici Enrico
44,20044,Roussos Panos
45,20045,Haibe-Kains Benjamin
46,20046,Abeysekera M
47,20047,Jenkins N
48,20048,Sardeshmukh Prashant D.
49,20049,McColl Chesley
50,20050,Dominguez
51,20051,Pudmenzky Christa
52,20052,MIT
53,20053,Analyze Boston
54,20054,Peroni Silvio
55,20055,Margulies Daniel S
56,20056,Falkiewicz Marcel
57,20057,Kattan Gustavo
58,20058,Satellite Services Division/Office Of Satellite Data Processing And Distribution/NESDIS/NOAA/U.S. Department Of Commerce
59,20059,National Centers For Environmental Prediction/
60,20060,NOAA/U.S. Department Of Commerce
61,20061,Sardeshmukh
62,20062,McColl
63,20063,Crouthamel
64,20064,Nordli O.
65,20065,Przybylak R.
66,20066,Müller Felix L
67,20067,Favre Adrien
68,20068,Yelp Inc.
69,20069,GaganBhatia
70,20070,NASA
71,20071,Chrabaszcz Patryk
72,20072,Grønlund Jesper T.
73,20073,Galachyants Yuri Pavlovich
74,20074,Zakharova Yulia Robertovna
75,20075,Volokitina Nadezda Antonovna
76,20076,Morozov Alexey Anatolyevich
77,20077,Likhoshway Yelena Valentinovna
78,20078,Kubo
79,20079,JosephCameron
80,20080,Sohrt Ernestine
81,20081,Blume Theresa
82,20082,Rosental Leah
83,20083,Anamitra Musib
84,20084,Kris
85,20085,Mesoscale Atmospheric Processes Branch/Laboratory
86,20086,Aije Egwaikhide
87,20087,Poulin
88,20088,Fernández-Mazuecos Mario
89,20089,Vargas Pablo
90,20090,Glover Beverley
91,20091,Ogink Alice
92,20092,Schultsz Constance'
93,20093,趙大宝
94,20094,Cordeiro Marcos R C
95,20095,Bastin ME
96,20096,Whittle IR
97,20097,EdoardoPiccari
98,20098,Brambilla Walter
99,20099,D’Alema Ezio
100,20100,Fodarella Antonio
101,20101,Pacor Francesca
102,20102,Pischiutta Marta
103,20103,International Monetary Fund
104,20104,Pérez-Palazón María José
105,20105,Scriba Thomas
106,20106,Chakravarthi Ramakrishna
107,20107,European Centre For Medium-Range Weather Forecasts
108,20108,Mölg Nico
109,20109,Rastner Philipp
110,20110,Smijesh Nadarajan Achary
111,20111,CHETTY
112,20112,KarlHaraldsson
113,20113,Klaylat Samira
114,20114,Pongwarin Thanapat
115,20115,Dylan
116,20116,Hirth Lion
117,20117,Zeeshan-ul-hassan Usmani
118,20118,Lanconelli Christian
119,20119,Maturilli Marion
120,20120,Vuilleumier Laurent
121,20121,Donaldson Craig
122,20122,Cross
123,20123,SAMUEL DURSO
124,20124,EDGARD
125,20125,Jahanshad Neda
126,20126,Rokem
127,20127,adithya
128,20128,Steinhoff
129,20129,López-García Pablo
130,20130,Allysan Scatterday
131,20131,Stockwell
132,20132,Lisette
133,20133,US Census Bureau
134,20134,Protection Bureau
135,20135,Consumer Financial
136,20136,Berlin State Library
137,20137,Bavarian State Library
138,20138,United States National Library of Medicine
139,20139,Royal Society
140,20140,Zoological Record Association
141,20141,Zoological Society
142,20142,University of Toronto
143,20143,Getty Research Institute
144,20144,"D.A. & de Juana,"
145,20145,Christie
146,20146,E.
147,20147,Bibliothèque nationale de France
148,20148,National Institute for Occupational Safety and Health
149,20149,National Assembly of Hungary
150,20150,Association of American State Geologists
151,20151,United States Geological Survey
152,20152,Alomari
153,20153,Cohn
154,20154,Pew Research Center
155,20155,Franco Garelli
156,20156,Ixa Group
