,publisherAgentID,publisherAgentName
0,30078,Figshare
1,30079,Oak Ridge
2,30080,US
3,30081,figshare
4,30082,UK
5,30083,British
6,30084,Presses de l'Université Laval
7,30085,Sennacieca Asocio Tutmonda
8,30086,French
9,30087,France
10,30088,ACyT Ediciones
11,30089,John Mark
12,30090,Calvin Theological Seminary
13,30091,4TU.Centre
14,30092,San Francisco
15,30093,Litchfield
16,30094,G. A. Natesan
17,30095,Bibliothèque de l'Université Laval
18,30096,Geoscience Australia
19,30097,Australian
20,30098,Dan Koehl
21,30099,Alexander Turnbull Library
