http://dskg.org/entity/person/10001	Jules Bergis	#Charlottesville, Aretha Franklin, nan		nan, https://doi.org/10.6086/d10t0b, https://doi.org/10.6086/d1x374
http://dskg.org/entity/person/10002	Loveday Benjamin	40-year AVHRR record of visible channel Rrs and coccolithophorid blooms, links to netCDF files, nan	Smyth Timothy J	nan, https://doi.org/10.1594/pangaea.892175
http://dskg.org/entity/person/10003	Smyth Timothy J	40-year AVHRR record of visible channel Rrs and coccolithophorid blooms, links to netCDF files, nan	Loveday Benjamin	nan, https://doi.org/10.1594/pangaea.892175
http://dskg.org/entity/person/10003	Smyth Timothy J	40-year AVHRR record of visible channel Rrs and coccolithophorid blooms, links to netCDF files, nan	Loveday Benjamin	nan, https://doi.org/10.1594/pangaea.892175
http://dskg.org/entity/person/10003	Smyth Timothy J	40-year AVHRR record of visible channel Rrs and coccolithophorid blooms, links to netCDF files, nan	Loveday Benjamin	nan, https://doi.org/10.1594/pangaea.892175
http://dskg.org/entity/person/10004	Diago Maria P.	datasets.zip, nan	Gutiérrez Salvador, Fernández-Novales Juan, Tardaguila Javier	https://figshare.com/articles/datasets_zip/5808720, https://doi.org/10.6084/m9.figshare.5808720.v1
http://dskg.org/entity/person/10004	Diago Maria P.	datasets.zip, nan	Gutiérrez Salvador, Fernández-Novales Juan, Tardaguila Javier	https://figshare.com/articles/datasets_zip/5808720, https://doi.org/10.6084/m9.figshare.5808720.v1
http://dskg.org/entity/person/10004	Diago Maria P.	datasets.zip, nan	Gutiérrez Salvador, Fernández-Novales Juan, Tardaguila Javier	https://figshare.com/articles/datasets_zip/5808720, https://doi.org/10.6084/m9.figshare.5808720.v1
http://dskg.org/entity/person/10006	R. Chawla Aarti	RAW files, nan	Bouchut Anne, Jeffers Victoria, Hudmon Andy, J. Sullivan Jr. William	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10007	Jeffers Victoria	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Hudmon Andy, J. Sullivan Jr. William	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10008	Hudmon Andy	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, J. Sullivan Jr. William	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10009	J. Sullivan Jr. William	RAW files, nan	Bouchut Anne, R. Chawla Aarti, Jeffers Victoria, Hudmon Andy	https://figshare.com/articles/RAW_files/4254047, https://doi.org/10.5061/dryad.gb291/10
http://dskg.org/entity/person/10010	Robertson Stuart	X-ray crystallography data, nan		nan, https://doi.org/10.15129/82de91b2-76e1-4b67-b970-3cd420f5d3ea
http://dskg.org/entity/person/10010	Robertson Stuart	X-ray crystallography data, nan		nan, https://doi.org/10.15129/82de91b2-76e1-4b67-b970-3cd420f5d3ea
http://dskg.org/entity/person/10010	Robertson Stuart	X-ray crystallography data, nan		nan, https://doi.org/10.15129/82de91b2-76e1-4b67-b970-3cd420f5d3ea
http://dskg.org/entity/person/10010	Robertson Stuart	X-ray crystallography data, nan		nan, https://doi.org/10.15129/82de91b2-76e1-4b67-b970-3cd420f5d3ea
http://dskg.org/entity/person/10010	Robertson Stuart	X-ray crystallography data, nan		nan, https://doi.org/10.15129/82de91b2-76e1-4b67-b970-3cd420f5d3ea
http://dskg.org/entity/person/10010	Robertson Stuart	X-ray crystallography data, nan		nan, https://doi.org/10.15129/82de91b2-76e1-4b67-b970-3cd420f5d3ea
http://dskg.org/entity/person/10013	Alarcón Marisa	Figure S2, nan	Mario, Lisa, Aldasoro Juan J., Sanmartín Isabel	https://figshare.com/articles/Figure_S2/4187232, https://doi.org/10.5061/dryad.5jc73/6
http://dskg.org/entity/person/10014	Aldasoro Juan J.	Figure S2, nan	Mario, Lisa, Alarcón Marisa, Sanmartín Isabel	https://figshare.com/articles/Figure_S2/4187232, https://doi.org/10.5061/dryad.5jc73/6
http://dskg.org/entity/person/10014	Aldasoro Juan J.	Figure S2, nan	Mario, Lisa, Alarcón Marisa, Sanmartín Isabel	https://figshare.com/articles/Figure_S2/4187232, https://doi.org/10.5061/dryad.5jc73/6
http://dskg.org/entity/person/10014	Aldasoro Juan J.	Figure S2, nan	Mario, Lisa, Alarcón Marisa, Sanmartín Isabel	https://figshare.com/articles/Figure_S2/4187232, https://doi.org/10.5061/dryad.5jc73/6
http://dskg.org/entity/person/10014	Aldasoro Juan J.	Figure S2, nan	Mario, Lisa, Alarcón Marisa, Sanmartín Isabel	https://figshare.com/articles/Figure_S2/4187232, https://doi.org/10.5061/dryad.5jc73/6
http://dskg.org/entity/person/10014	Aldasoro Juan J.	Figure S2, nan	Mario, Lisa, Alarcón Marisa, Sanmartín Isabel	https://figshare.com/articles/Figure_S2/4187232, https://doi.org/10.5061/dryad.5jc73/6
http://dskg.org/entity/person/10017	Talavera David	NN training and testing, nan	Hospital Adam, Orozco Modesto, Cruz Xavier De La	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10017	Talavera David	NN training and testing, nan	Hospital Adam, Orozco Modesto, Cruz Xavier De La	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10017	Talavera David	NN training and testing, nan	Hospital Adam, Orozco Modesto, Cruz Xavier De La	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10017	Talavera David	NN training and testing, nan	Hospital Adam, Orozco Modesto, Cruz Xavier De La	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10018	Orozco Modesto	NN training and testing, nan	Talavera David, Hospital Adam, Cruz Xavier De La	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10018	Orozco Modesto	NN training and testing, nan	Talavera David, Hospital Adam, Cruz Xavier De La	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10019	Cruz Xavier De La	NN training and testing, nan	Talavera David, Hospital Adam, Orozco Modesto	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10019	Cruz Xavier De La	NN training and testing, nan	Talavera David, Hospital Adam, Orozco Modesto	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10019	Cruz Xavier De La	NN training and testing, nan	Talavera David, Hospital Adam, Orozco Modesto	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10019	Cruz Xavier De La	NN training and testing, nan	Talavera David, Hospital Adam, Orozco Modesto	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10019	Cruz Xavier De La	NN training and testing, nan	Talavera David, Hospital Adam, Orozco Modesto	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10019	Cruz Xavier De La	NN training and testing, nan	Talavera David, Hospital Adam, Orozco Modesto	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10019	Cruz Xavier De La	NN training and testing, nan	Talavera David, Hospital Adam, Orozco Modesto	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10019	Cruz Xavier De La	NN training and testing, nan	Talavera David, Hospital Adam, Orozco Modesto	nan, https://doi.org/10.6084/m9.figshare.18527, https://doi.org/10.6084/m9.figshare.18527.v1
http://dskg.org/entity/person/10021	Zehner Richard	Geothermal Geodatabase for Routt Hot Springs, Routt County, Colorado, Geothermal Geodatabase for Rico Hot Springs Area and Lemon Hot Springs, Dolores and San Miguel Counties, Colorado, nan		nan, https://doi.org/10.15121/1148735, https://doi.org/10.15121/1148736
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10022	Yao Wei	International airline passengers, nan		https://www.kaggle.com/falkow91/internationalairlinepassengers, https://www.kaggle.com/andreazzini/international-airline-passengers, https://doi.org/10.17632/vcwrx2rwtg.1
http://dskg.org/entity/person/10025	Finkensieper Stephan	CLAAS-2: CM SAF CLoud property dAtAset using SEVIRI - Edition 2, nan	Stengel Martin, Hollmann Rainer, Hanschmann Timo, Fuchs Petra, Werscheck Martin, Van Zadelhoff Gerd-Jan, Benas Nikolaos	nan, https://doi.org/10.5676/eum_saf_cm/claas/v002
